polynomialIndex,pointIndex,point,cyclePoint,multiply,result
0,0,4,0,8,0
0,1,1,0,2,0
0,2,3,0,6,0
0,3,3,0,6,0
0,4,4,0,8,0
0,5,0,0,0,0
0,6,1,0,2,0
0,7,3,0,6,0
0,8,1,0,2,0
0,9,2,0,4,0
0,10,2,0,4,0
0,11,3,0,6,0
0,12,1,0,2,0
0,13,2,0,4,0
0,14,4,0,8,0
0,15,4,0,8,0
0,16,3,0,6,0
0,17,3,0,6,0
0,18,0,0,0,0
0,19,3,0,6,0
1,0,3,4,12,8
1,1,3,1,3,2
1,2,3,3,9,6
1,3,3,3,9,6
1,4,3,4,12,8
1,5,3,0,0,0
1,6,3,1,3,2
1,7,3,3,9,6
1,8,3,1,3,2
1,9,3,2,6,4
1,10,3,2,6,4
1,11,3,3,9,6
1,12,3,1,3,2
1,13,3,2,6,4
1,14,3,4,12,8
1,15,3,4,12,8
1,16,3,3,9,6
1,17,3,3,9,6
1,18,3,0,0,0
1,19,3,3,9,6
2,0,3,4,28,12
2,1,3,1,7,3
2,2,3,3,21,9
2,3,3,3,21,9
2,4,3,4,28,12
2,5,3,0,0,0
2,6,3,1,7,3
2,7,3,3,21,9
2,8,3,1,7,3
2,9,3,2,14,6
2,10,3,2,14,6
2,11,3,3,21,9
2,12,3,1,7,3
2,13,3,2,14,6
2,14,3,4,28,12
2,15,3,4,28,12
2,16,3,3,21,9
2,17,3,3,21,9
2,18,3,0,0,0
2,19,3,3,21,9
3,0,3,4,44,28
3,1,3,1,11,7
3,2,3,3,33,21
3,3,3,3,33,21
3,4,3,4,44,28
3,5,3,0,0,0
3,6,3,1,11,7
3,7,3,3,33,21
3,8,3,1,11,7
3,9,3,2,22,14
3,10,3,2,22,14
3,11,3,3,33,21
3,12,3,1,11,7
3,13,3,2,22,14
3,14,3,4,44,28
3,15,3,4,44,28
3,16,3,3,33,21
3,17,3,3,33,21
3,18,3,0,0,0
3,19,3,3,33,21
4,0,3,4,44,44
4,1,3,1,11,11
4,2,3,3,33,33
4,3,3,3,33,33
4,4,3,4,44,44
4,5,3,0,0,0
4,6,3,1,11,11
4,7,3,3,33,33
4,8,3,1,11,11
4,9,3,2,22,22
4,10,3,2,22,22
4,11,3,3,33,33
4,12,3,1,11,11
4,13,3,2,22,22
4,14,3,4,44,44
4,15,3,4,44,44
4,16,3,3,33,33
4,17,3,3,33,33
4,18,3,0,0,0
4,19,3,3,33,33
5,0,3,4,60,44
5,1,3,1,15,11
5,2,3,3,45,33
5,3,3,3,45,33
5,4,3,4,60,44
5,5,3,0,0,0
5,6,3,1,15,11
5,7,3,3,45,33
5,8,3,1,15,11
5,9,3,2,30,22
5,10,3,2,30,22
5,11,3,3,45,33
5,12,3,1,15,11
5,13,3,2,30,22
5,14,3,4,60,44
5,15,3,4,60,44
5,16,3,3,45,33
5,17,3,3,45,33
5,18,3,0,0,0
5,19,3,3,45,33
6,0,3,4,72,60
6,1,3,1,18,15
6,2,3,3,54,45
6,3,3,3,54,45
6,4,3,4,72,60
6,5,3,0,0,0
6,6,3,1,18,15
6,7,3,3,54,45
6,8,3,1,18,15
6,9,3,2,36,30
6,10,3,2,36,30
6,11,3,3,54,45
6,12,3,1,18,15
6,13,3,2,36,30
6,14,3,4,72,60
6,15,3,4,72,60
6,16,3,3,54,45
6,17,3,3,54,45
6,18,3,0,0,0
6,19,3,3,54,45
7,0,3,4,80,72
7,1,3,1,20,18
7,2,3,3,60,54
7,3,3,3,60,54
7,4,3,4,80,72
7,5,3,0,0,0
7,6,3,1,20,18
7,7,3,3,60,54
7,8,3,1,20,18
7,9,3,2,40,36
7,10,3,2,40,36
7,11,3,3,60,54
7,12,3,1,20,18
7,13,3,2,40,36
7,14,3,4,80,72
7,15,3,4,80,72
7,16,3,3,60,54
7,17,3,3,60,54
7,18,3,0,0,0
7,19,3,3,60,54
8,0,3,4,92,80
8,1,3,1,23,20
8,2,3,3,69,60
8,3,3,3,69,60
8,4,3,4,92,80
8,5,3,0,0,0
8,6,3,1,23,20
8,7,3,3,69,60
8,8,3,1,23,20
8,9,3,2,46,40
8,10,3,2,46,40
8,11,3,3,69,60
8,12,3,1,23,20
8,13,3,2,46,40
8,14,3,4,92,80
8,15,3,4,92,80
8,16,3,3,69,60
8,17,3,3,69,60
8,18,3,0,0,0
8,19,3,3,69,60
9,0,3,4,96,92
9,1,3,1,24,23
9,2,3,3,72,69
9,3,3,3,72,69
9,4,3,4,96,92
9,5,3,0,0,0
9,6,3,1,24,23
9,7,3,3,72,69
9,8,3,1,24,23
9,9,3,2,48,46
9,10,3,2,48,46
9,11,3,3,72,69
9,12,3,1,24,23
9,13,3,2,48,46
9,14,3,4,96,92
9,15,3,4,96,92
9,16,3,3,72,69
9,17,3,3,72,69
9,18,3,0,0,0
9,19,3,3,72,69
10,0,3,4,108,96
10,1,3,1,27,24
10,2,3,3,81,72
10,3,3,3,81,72
10,4,3,4,108,96
10,5,3,0,0,0
10,6,3,1,27,24
10,7,3,3,81,72
10,8,3,1,27,24
10,9,3,2,54,48
10,10,3,2,54,48
10,11,3,3,81,72
10,12,3,1,27,24
10,13,3,2,54,48
10,14,3,4,108,96
10,15,3,4,108,96
10,16,3,3,81,72
10,17,3,3,81,72
10,18,3,0,0,0
10,19,3,3,81,72
11,0,3,4,112,108
11,1,3,1,28,27
11,2,3,3,84,81
11,3,3,3,84,81
11,4,3,4,112,108
11,5,3,0,0,0
11,6,3,1,28,27
11,7,3,3,84,81
11,8,3,1,28,27
11,9,3,2,56,54
11,10,3,2,56,54
11,11,3,3,84,81
11,12,3,1,28,27
11,13,3,2,56,54
11,14,3,4,112,108
11,15,3,4,112,108
11,16,3,3,84,81
11,17,3,3,84,81
11,18,3,0,0,0
11,19,3,3,84,81
12,0,3,4,120,112
12,1,3,1,30,28
12,2,3,3,90,84
12,3,3,3,90,84
12,4,3,4,120,112
12,5,3,0,0,0
12,6,3,1,30,28
12,7,3,3,90,84
12,8,3,1,30,28
12,9,3,2,60,56
12,10,3,2,60,56
12,11,3,3,90,84
12,12,3,1,30,28
12,13,3,2,60,56
12,14,3,4,120,112
12,15,3,4,120,112
12,16,3,3,90,84
12,17,3,3,90,84
12,18,3,0,0,0
12,19,3,3,90,84
13,0,3,4,124,120
13,1,3,1,31,30
13,2,3,3,93,90
13,3,3,3,93,90
13,4,3,4,124,120
13,5,3,0,0,0
13,6,3,1,31,30
13,7,3,3,93,90
13,8,3,1,31,30
13,9,3,2,62,60
13,10,3,2,62,60
13,11,3,3,93,90
13,12,3,1,31,30
13,13,3,2,62,60
13,14,3,4,124,120
13,15,3,4,124,120
13,16,3,3,93,90
13,17,3,3,93,90
13,18,3,0,0,0
13,19,3,3,93,90
14,0,3,4,124,124
14,1,3,1,31,31
14,2,3,3,93,93
14,3,3,3,93,93
14,4,3,4,124,124
14,5,3,0,0,0
14,6,3,1,31,31
14,7,3,3,93,93
14,8,3,1,31,31
14,9,3,2,62,62
14,10,3,2,62,62
14,11,3,3,93,93
14,12,3,1,31,31
14,13,3,2,62,62
14,14,3,4,124,124
14,15,3,4,124,124
14,16,3,3,93,93
14,17,3,3,93,93
14,18,3,0,0,0
14,19,3,3,93,93
15,0,3,4,128,124
15,1,3,1,32,31
15,2,3,3,96,93
15,3,3,3,96,93
15,4,3,4,128,124
15,5,3,0,0,0
15,6,3,1,32,31
15,7,3,3,96,93
15,8,3,1,32,31
15,9,3,2,64,62
15,10,3,2,64,62
15,11,3,3,96,93
15,12,3,1,32,31
15,13,3,2,64,62
15,14,3,4,128,124
15,15,3,4,128,124
15,16,3,3,96,93
15,17,3,3,96,93
15,18,3,0,0,0
15,19,3,3,96,93
16,0,3,4,136,128
16,1,3,1,34,32
16,2,3,3,102,96
16,3,3,3,102,96
16,4,3,4,136,128
16,5,3,0,0,0
16,6,3,1,34,32
16,7,3,3,102,96
16,8,3,1,34,32
16,9,3,2,68,64
16,10,3,2,68,64
16,11,3,3,102,96
16,12,3,1,34,32
16,13,3,2,68,64
16,14,3,4,136,128
16,15,3,4,136,128
16,16,3,3,102,96
16,17,3,3,102,96
16,18,3,0,0,0
16,19,3,3,102,96
17,0,3,4,144,136
17,1,3,1,36,34
17,2,3,3,108,102
17,3,3,3,108,102
17,4,3,4,144,136
17,5,3,0,0,0
17,6,3,1,36,34
17,7,3,3,108,102
17,8,3,1,36,34
17,9,3,2,72,68
17,10,3,2,72,68
17,11,3,3,108,102
17,12,3,1,36,34
17,13,3,2,72,68
17,14,3,4,144,136
17,15,3,4,144,136
17,16,3,3,108,102
17,17,3,3,108,102
17,18,3,0,0,0
17,19,3,3,108,102
18,0,3,4,144,144
18,1,3,1,36,36
18,2,3,3,108,108
18,3,3,3,108,108
18,4,3,4,144,144
18,5,3,0,0,0
