polynomialIndex,pointIndex,point,cyclePoint,multiply,result
0,0,4,0,0,0
0,1,1,0,0,0
0,2,3,0,0,0
0,3,3,0,0,0
0,4,4,0,0,0
0,5,0,0,0,0
0,6,1,0,0,0
0,7,3,0,0,0
0,8,1,0,0,0
0,9,2,0,0,0
0,10,2,0,0,0
0,11,3,0,0,0
0,12,1,0,0,0
0,13,2,0,0,0
0,14,4,0,0,0
0,15,4,0,0,0
0,16,3,0,0,0
0,17,3,0,0,0
0,18,0,0,0,0
0,19,3,0,0,0
1,0,3,4,4,0
1,1,3,1,1,0
1,2,3,3,3,0
1,3,3,3,3,0
1,4,3,4,4,0
1,5,3,0,0,0
1,6,3,1,1,0
1,7,3,3,3,0
1,8,3,1,1,0
1,9,3,2,2,0
1,10,3,2,2,0
1,11,3,3,3,0
1,12,3,1,1,0
1,13,3,2,2,0
1,14,3,4,4,0
1,15,3,4,4,0
1,16,3,3,3,0
1,17,3,3,3,0
1,18,3,0,0,0
1,19,3,3,3,0
2,0,3,4,4,4
2,1,3,1,1,1
2,2,3,3,3,3
2,3,3,3,3,3
2,4,3,4,4,4
2,5,3,0,0,0
2,6,3,1,1,1
2,7,3,3,3,3
2,8,3,1,1,1
2,9,3,2,2,2
2,10,3,2,2,2
2,11,3,3,3,3
2,12,3,1,1,1
2,13,3,2,2,2
2,14,3,4,4,4
2,15,3,4,4,4
2,16,3,3,3,3
2,17,3,3,3,3
2,18,3,0,0,0
2,19,3,3,3,3
3,0,3,4,20,4
3,1,3,1,5,1
3,2,3,3,15,3
3,3,3,3,15,3
3,4,3,4,20,4
3,5,3,0,0,0
3,6,3,1,5,1
3,7,3,3,15,3
3,8,3,1,5,1
3,9,3,2,10,2
3,10,3,2,10,2
3,11,3,3,15,3
3,12,3,1,5,1
3,13,3,2,10,2
3,14,3,4,20,4
3,15,3,4,20,4
3,16,3,3,15,3
3,17,3,3,15,3
3,18,3,0,0,0
3,19,3,3,15,3
4,0,3,4,20,20
4,1,3,1,5,5
4,2,3,3,15,15
4,3,3,3,15,15
4,4,3,4,20,20
4,5,3,0,0,0
4,6,3,1,5,5
4,7,3,3,15,15
4,8,3,1,5,5
4,9,3,2,10,10
4,10,3,2,10,10
4,11,3,3,15,15
4,12,3,1,5,5
4,13,3,2,10,10
4,14,3,4,20,20
4,15,3,4,20,20
4,16,3,3,15,15
4,17,3,3,15,15
4,18,3,0,0,0
4,19,3,3,15,15
5,0,3,4,28,20
5,1,3,1,7,5
5,2,3,3,21,15
5,3,3,3,21,15
5,4,3,4,28,20
5,5,3,0,0,0
5,6,3,1,7,5
5,7,3,3,21,15
5,8,3,1,7,5
5,9,3,2,14,10
5,10,3,2,14,10
5,11,3,3,21,15
5,12,3,1,7,5
5,13,3,2,14,10
5,14,3,4,28,20
5,15,3,4,28,20
5,16,3,3,21,15
5,17,3,3,21,15
5,18,3,0,0,0
5,19,3,3,21,15
6,0,3,4,28,28
6,1,3,1,7,7
6,2,3,3,21,21
6,3,3,3,21,21
6,4,3,4,28,28
6,5,3,0,0,0
6,6,3,1,7,7
6,7,3,3,21,21
6,8,3,1,7,7
6,9,3,2,14,14
6,10,3,2,14,14
6,11,3,3,21,21
6,12,3,1,7,7
6,13,3,2,14,14
6,14,3,4,28,28
6,15,3,4,28,28
6,16,3,3,21,21
6,17,3,3,21,21
6,18,3,0,0,0
6,19,3,3,21,21
7,0,3,4,28,28
7,1,3,1,7,7
7,2,3,3,21,21
7,3,3,3,21,21
7,4,3,4,28,28
7,5,3,0,0,0
7,6,3,1,7,7
7,7,3,3,21,21
7,8,3,1,7,7
7,9,3,2,14,14
7,10,3,2,14,14
7,11,3,3,21,21
7,12,3,1,7,7
7,13,3,2,14,14
7,14,3,4,28,28
7,15,3,4,28,28
7,16,3,3,21,21
7,17,3,3,21,21
7,18,3,0,0,0
7,19,3,3,21,21
8,0,3,4,44,28
8,1,3,1,11,7
8,2,3,3,33,21
8,3,3,3,33,21
8,4,3,4,44,28
8,5,3,0,0,0
8,6,3,1,11,7
8,7,3,3,33,21
8,8,3,1,11,7
8,9,3,2,22,14
8,10,3,2,22,14
8,11,3,3,33,21
8,12,3,1,11,7
8,13,3,2,22,14
8,14,3,4,44,28
8,15,3,4,44,28
8,16,3,3,33,21
8,17,3,3,33,21
8,18,3,0,0,0
8,19,3,3,33,21
9,0,3,4,48,44
9,1,3,1,12,11
9,2,3,3,36,33
9,3,3,3,36,33
9,4,3,4,48,44
9,5,3,0,0,0
9,6,3,1,12,11
9,7,3,3,36,33
9,8,3,1,12,11
9,9,3,2,24,22
9,10,3,2,24,22
9,11,3,3,36,33
9,12,3,1,12,11
9,13,3,2,24,22
9,14,3,4,48,44
9,15,3,4,48,44
9,16,3,3,36,33
9,17,3,3,36,33
9,18,3,0,0,0
9,19,3,3,36,33
10,0,3,4,56,48
10,1,3,1,14,12
10,2,3,3,42,36
10,3,3,3,42,36
10,4,3,4,56,48
10,5,3,0,0,0
10,6,3,1,14,12
10,7,3,3,42,36
10,8,3,1,14,12
10,9,3,2,28,24
10,10,3,2,28,24
10,11,3,3,42,36
10,12,3,1,14,12
10,13,3,2,28,24
10,14,3,4,56,48
10,15,3,4,56,48
10,16,3,3,42,36
10,17,3,3,42,36
10,18,3,0,0,0
10,19,3,3,42,36
11,0,3,4,72,56
11,1,3,1,18,14
11,2,3,3,54,42
11,3,3,3,54,42
11,4,3,4,72,56
11,5,3,0,0,0
11,6,3,1,18,14
11,7,3,3,54,42
11,8,3,1,18,14
11,9,3,2,36,28
11,10,3,2,36,28
11,11,3,3,54,42
11,12,3,1,18,14
11,13,3,2,36,28
11,14,3,4,72,56
11,15,3,4,72,56
11,16,3,3,54,42
11,17,3,3,54,42
11,18,3,0,0,0
11,19,3,3,54,42
12,0,3,4,84,72
12,1,3,1,21,18
12,2,3,3,63,54
12,3,3,3,63,54
12,4,3,4,84,72
12,5,3,0,0,0
12,6,3,1,21,18
12,7,3,3,63,54
12,8,3,1,21,18
12,9,3,2,42,36
12,10,3,2,42,36
12,11,3,3,63,54
12,12,3,1,21,18
12,13,3,2,42,36
12,14,3,4,84,72
12,15,3,4,84,72
12,16,3,3,63,54
12,17,3,3,63,54
12,18,3,0,0,0
12,19,3,3,63,54
13,0,3,4,88,84
13,1,3,1,22,21
13,2,3,3,66,63
13,3,3,3,66,63
13,4,3,4,88,84
13,5,3,0,0,0
13,6,3,1,22,21
13,7,3,3,66,63
13,8,3,1,22,21
13,9,3,2,44,42
13,10,3,2,44,42
13,11,3,3,66,63
13,12,3,1,22,21
13,13,3,2,44,42
13,14,3,4,88,84
13,15,3,4,88,84
13,16,3,3,66,63
13,17,3,3,66,63
13,18,3,0,0,0
13,19,3,3,66,63
14,0,3,4,100,88
14,1,3,1,25,22
14,2,3,3,75,66
14,3,3,3,75,66
14,4,3,4,100,88
14,5,3,0,0,0
14,6,3,1,25,22
14,7,3,3,75,66
14,8,3,1,25,22
14,9,3,2,50,44
14,10,3,2,50,44
14,11,3,3,75,66
14,12,3,1,25,22
14,13,3,2,50,44
14,14,3,4,100,88
14,15,3,4,100,88
14,16,3,3,75,66
14,17,3,3,75,66
14,18,3,0,0,0
14,19,3,3,75,66
15,0,3,4,108,100
15,1,3,1,27,25
15,2,3,3,81,75
15,3,3,3,81,75
15,4,3,4,108,100
15,5,3,0,0,0
15,6,3,1,27,25
15,7,3,3,81,75
15,8,3,1,27,25
15,9,3,2,54,50
15,10,3,2,54,50
15,11,3,3,81,75
15,12,3,1,27,25
15,13,3,2,54,50
15,14,3,4,108,100
15,15,3,4,108,100
15,16,3,3,81,75
15,17,3,3,81,75
15,18,3,0,0,0
15,19,3,3,81,75
16,0,3,4,116,108
16,1,3,1,29,27
16,2,3,3,87,81
16,3,3,3,87,81
16,4,3,4,116,108
16,5,3,0,0,0
16,6,3,1,29,27
16,7,3,3,87,81
16,8,3,1,29,27
16,9,3,2,58,54
16,10,3,2,58,54
16,11,3,3,87,81
16,12,3,1,29,27
16,13,3,2,58,54
16,14,3,4,116,108
16,15,3,4,116,108
16,16,3,3,87,81
16,17,3,3,87,81
16,18,3,0,0,0
16,19,3,3,87,81
17,0,3,4,132,116
17,1,3,1,33,29
17,2,3,3,99,87
17,3,3,3,99,87
17,4,3,4,132,116
17,5,3,0,0,0
17,6,3,1,33,29
17,7,3,3,99,87
17,8,3,1,33,29
17,9,3,2,66,58
17,10,3,2,66,58
17,11,3,3,99,87
17,12,3,1,33,29
17,13,3,2,66,58
17,14,3,4,132,116
17,15,3,4,132,116
17,16,3,3,99,87
17,17,3,3,99,87
17,18,3,0,0,0
17,19,3,3,99,87
18,0,3,4,136,132
18,1,3,1,34,33
18,2,3,3,102,99
18,3,3,3,102,99
18,4,3,4,136,132
18,5,3,0,0,0
18,6,3,1,34,33
18,7,3,3,102,99
18,8,3,1,34,33
18,9,3,2,68,66
18,10,3,2,68,66
18,11,3,3,102,99
18,12,3,1,34,33
18,13,3,2,68,66
18,14,3,4,136,132
18,15,3,4,136,132
18,16,3,3,102,99
18,17,3,3,102,99
18,18,3,0,0,0
18,19,3,3,102,99
19,0,3,4,148,136
19,1,3,1,37,34
19,2,3,3,111,102
19,3,3,3,111,102
19,4,3,4,148,136
19,5,3,0,0,0
19,6,3,1,37,34
19,7,3,3,111,102
19,8,3,1,37,34
19,9,3,2,74,68
19,10,3,2,74,68
19,11,3,3,111,102
19,12,3,1,37,34
19,13,3,2,74,68
19,14,3,4,148,136
19,15,3,4,148,136
19,16,3,3,111,102
19,17,3,3,111,102
19,18,3,0,0,0
19,19,3,3,111,102
